District,Taluk,Area,DemandProducts,Cost_of_Living,Population,Avg_Income,Competition_Index,Footfall_Potential,AvgRent2BHK,MetroAccess,CrimeReportedCitywide,CrimeDetectedCitywide,AgeGroup,metro_binary,demand_token_count,success_score
Bangalore Urban,Bangalore North,Hennur Cross 2,"Real Estate, Cafe, Gym",55773,395597,75005,3,1778,,No,12627.0,3603 (28.5%),25-44,0,3,0.4772429690740809
Bangalore Urban,Bangalore North,Kothanur Market 2,"Supermarket, Restaurant, Cafe",87435,104458,73576,4,715,,No,12627.0,3603 (28.5%),25-44,0,3,0.3945988922957153
Bangalore Urban,Bangalore North,Byatarayanapura Industrial Area 2,"Clothing Store, Pharmacy, Education",76886,32175,68026,8,7186,,No,12627.0,3603 (28.5%),25-44,0,3,0.5326348269193715
Bangalore Urban,Bangalore North,Hegde Nagar Layout 2,"Grocery, Pharmacy, Cafe",86803,401379,74745,1,4849,,No,12627.0,3603 (28.5%),25-44,0,3,0.6719241105251664
Bangalore Urban,Bangalore North,Thanisandra Main Road 2,"Real Estate, Supermarket, Electronics",51551,336915,24686,6,3605,,No,12627.0,3603 (28.5%),25-44,0,3,0.273286100146623
Bangalore Urban,Bangalore North,Sanjay Nagar Extension 3,"Cafe, Bakery, Pharmacy",31394,409301,61877,1,4629,,No,12627.0,3603 (28.5%),25-44,0,3,0.6134200650085142
Bangalore Urban,Bangalore North,Frazer Town Stage 3,"Cafe, Bakery, Clothing Store",89092,141300,68363,1,1235,,No,12627.0,3603 (28.5%),25-44,0,3,0.4899454504507611
Bangalore Urban,Bangalore North,Yelahanka Phase 3,"Cafe, Education, Real Estate, Electronics",23890,106925,47007,8,8666,,No,12627.0,3603 (28.5%),25-44,0,4,0.6406315821827251
Bangalore Urban,Bangalore North,Hebbal Block 3,"Cafe, Supermarket, Healthcare, Electronics",61606,264446,15661,4,7326,22000.0,Yes,12627.0,3603 (28.5%),25-44,1,4,0.6479520257954665
Bangalore Urban,Bangalore North,RT Nagar Cross 3,"Grocery, Kitchenware, Pharmacy, Clothing Store",116276,86358,59843,1,5262,,No,12627.0,3603 (28.5%),25-44,0,4,0.7566006477939502
Bangalore Urban,Bangalore North,Malleshwaram Market 3,"Cafe, Clothing Store, Books, Jewellery",100038,430543,45137,7,306,28000.0,Yes,12627.0,3603 (28.5%),25-44,1,4,0.3611348729411876
Bangalore Urban,Bangalore North,Rajajinagar Industrial Area 3,"Supermarket, Electronics, Pharmacy, Furniture",107313,67057,75963,5,4975,,No,12627.0,3603 (28.5%),25-44,0,4,0.6820519001585588
Bangalore Urban,Bangalore North,Sadashivanagar Layout 3,"Boutique, High-end Furniture, Cafe",30627,288294,62556,5,1419,,No,12627.0,3603 (28.5%),25-44,0,3,0.35262262635570885
Bangalore Urban,Bangalore North,Mathikere Main Road 3,"Cafe, Bookstore, Fitness Center",28792,286569,57828,1,1241,,No,12627.0,3603 (28.5%),25-44,0,3,0.45017083835406435
Bangalore Urban,Bangalore North,Vidyaranyapura Extension 4,"Grocery, Pharmacy, Cafe",93969,274726,63604,6,4727,,No,12627.0,3603 (28.5%),25-44,0,3,0.47015449828743094
Bangalore Urban,Bangalore North,Jakkur Stage 4,"Education, Fitness Center, Cafe",63001,298176,25526,9,7489,,No,12627.0,3603 (28.5%),25-44,0,3,0.35352344660829893
Bangalore Urban,Bangalore North,Nagavara Phase 4,"IT Services, Cafe, Pharmacy",96552,22198,18374,9,2790,,No,12627.0,3603 (28.5%),25-44,0,3,0.12126613116299659
Bangalore Urban,Bangalore North,Banaswadi Block 4,"Grocery, Pharmacy, Clothing Store",43897,473716,40592,8,7423,,No,12627.0,3603 (28.5%),25-44,0,3,0.43871992985237174
Bangalore Urban,Bangalore North,Kalyan Nagar Cross 4,"Cafe, Restaurant, Fitness",88148,204466,43982,5,3355,,No,12627.0,3603 (28.5%),25-44,0,3,0.36652770706884674
Bangalore Urban,Bangalore North,Horamavu Market 4,"Grocery, Electronics, Furniture",43483,433295,15207,1,8381,,No,12627.0,3603 (28.5%),25-44,0,3,0.5998063592716177
Bangalore Urban,Bangalore North,Hennur Industrial Area 4,"Real Estate, Cafe, Gym",68555,187292,50433,9,5313,,No,12627.0,3603 (28.5%),25-44,0,3,0.3532115870617164
Bangalore Urban,Bangalore North,Kothanur Layout 4,"Supermarket, Restaurant, Cafe",37159,455090,66645,1,4208,,No,12627.0,3603 (28.5%),25-44,0,3,0.6131664301230929
Bangalore Urban,Bangalore North,Byatarayanapura Main Road 4,"Clothing Store, Pharmacy, Education",100077,164931,38197,8,3120,,No,12627.0,3603 (28.5%),25-44,0,3,0.24182331627521544
Bangalore Urban,Bangalore North,Hegde Nagar Extension 5,"Grocery, Pharmacy, Cafe",55920,463676,48400,5,1957,,No,12627.0,3603 (28.5%),25-44,0,3,0.32230497390059265
Bangalore Urban,Bangalore North,Thanisandra Stage 5,"Real Estate, Supermarket, Electronics",112067,182491,74446,3,9096,,No,12627.0,3603 (28.5%),25-44,0,3,0.7944963515653836
Bangalore Urban,Bangalore North,Sanjay Nagar Phase 5,"Cafe, Bakery, Pharmacy",87121,401009,75303,7,9236,,No,12627.0,3603 (28.5%),25-44,0,3,0.6805786398888989
Bangalore Urban,Bangalore North,Frazer Town Block 5,"Cafe, Bakery, Clothing Store",89479,421921,18083,7,2889,,No,12627.0,3603 (28.5%),25-44,0,3,0.18612315984220704
Bangalore Urban,Bangalore North,Yelahanka Cross 5,"Cafe, Education, Real Estate, Electronics",109475,456096,44328,9,3975,,No,12627.0,3603 (28.5%),25-44,0,4,0.39490113633085966
Bangalore Urban,Bangalore North,Hebbal Market 5,"Cafe, Supermarket, Healthcare, Electronics",39457,280910,61479,7,7705,22000.0,Yes,12627.0,3603 (28.5%),25-44,1,4,0.7461526842646251
Bangalore Urban,Bangalore North,RT Nagar Industrial Area 5,"Grocery, Kitchenware, Pharmacy, Clothing Store",86557,43236,57891,3,9902,,No,12627.0,3603 (28.5%),25-44,0,4,0.8900425518805696
Bangalore Urban,Bangalore North,Malleshwaram Layout 5,"Cafe, Clothing Store, Books, Jewellery",97189,107955,35103,1,8235,28000.0,Yes,12627.0,3603 (28.5%),25-44,1,4,0.8539727379590973
Bangalore Urban,Bangalore North,Rajajinagar Main Road 5,"Supermarket, Electronics, Pharmacy, Furniture",98953,236586,54891,8,6155,,No,12627.0,3603 (28.5%),25-44,0,4,0.5610063908989135
Bangalore Urban,Bangalore North,Sadashivanagar Extension 6,"Boutique, High-end Furniture, Cafe",72995,123145,25754,3,3982,,No,12627.0,3603 (28.5%),25-44,0,3,0.3862616107146868
Bangalore Urban,Bangalore North,Mathikere Stage 6,"Cafe, Bookstore, Fitness Center",60757,166430,49447,8,7275,,No,12627.0,3603 (28.5%),25-44,0,3,0.46591271593323347
Bangalore Urban,Bangalore North,Vidyaranyapura Phase 6,"Grocery, Pharmacy, Cafe",29692,250785,30901,8,7229,,No,12627.0,3603 (28.5%),25-44,0,3,0.3934242423110581
Bangalore Urban,Bangalore North,Jakkur Block 6,"Education, Fitness Center, Cafe",65758,114914,48004,5,5121,,No,12627.0,3603 (28.5%),25-44,0,3,0.45888575728281655
Bangalore Urban,Bangalore North,Nagavara Cross 6,"IT Services, Cafe, Pharmacy",92409,385014,22446,1,4835,,No,12627.0,3603 (28.5%),25-44,0,3,0.4725596921075944
Bangalore Urban,Bangalore North,Banaswadi Market 6,"Grocery, Pharmacy, Clothing Store",91211,227990,52211,7,2487,,No,12627.0,3603 (28.5%),25-44,0,3,0.2982764044374556
Bangalore Urban,Bangalore North,Kalyan Nagar Industrial Area 6,"Cafe, Restaurant, Fitness",85697,398387,70922,5,6682,,No,12627.0,3603 (28.5%),25-44,0,3,0.6141080619220501
Bangalore Urban,Bangalore North,Horamavu Layout 6,"Grocery, Electronics, Furniture",57065,34596,63231,8,9233,,No,12627.0,3603 (28.5%),25-44,0,3,0.6037489915322357
Bangalore Urban,Bangalore North,Hennur Main Road 6,"Real Estate, Cafe, Gym",112093,446788,44301,9,5966,,No,12627.0,3603 (28.5%),25-44,0,3,0.35840669471305875
Bangalore Urban,Bangalore North,Kothanur Extension 7,"Supermarket, Restaurant, Cafe",119299,491973,41116,7,2666,,No,12627.0,3603 (28.5%),25-44,0,3,0.26392380659338255
Bangalore Urban,Bangalore North,Byatarayanapura Stage 7,"Clothing Store, Pharmacy, Education",52606,152351,70251,7,1075,,No,12627.0,3603 (28.5%),25-44,0,3,0.305210757641298
Bangalore Urban,Bangalore North,Hegde Nagar Phase 7,"Grocery, Pharmacy, Cafe",31534,214269,76287,1,7312,,No,12627.0,3603 (28.5%),25-44,0,3,0.7852763525619235
Bangalore Urban,Bangalore North,Thanisandra Block 7,"Real Estate, Supermarket, Electronics",114663,393640,77711,4,9246,,No,12627.0,3603 (28.5%),25-44,0,3,0.7826296962874942
Bangalore Urban,Bangalore North,Sanjay Nagar Cross 7,"Cafe, Bakery, Pharmacy",60397,412417,56323,2,1362,,No,12627.0,3603 (28.5%),25-44,0,3,0.4189109722982949
Bangalore Urban,Bangalore North,Frazer Town Market 7,"Cafe, Bakery, Clothing Store",111387,475732,33752,2,5147,,No,12627.0,3603 (28.5%),25-44,0,3,0.4983216125673251
Bangalore Urban,Bangalore North,Yelahanka Industrial Area 7,"Cafe, Education, Real Estate, Electronics",21016,158155,47376,2,9235,,No,12627.0,3603 (28.5%),25-44,0,4,0.8517935096907464
Bangalore Urban,Bangalore North,Hebbal Layout 7,"Cafe, Supermarket, Healthcare, Electronics",109789,140674,31669,4,7482,22000.0,Yes,12627.0,3603 (28.5%),25-44,1,4,0.7155959681040802
Bangalore Urban,Bangalore North,RT Nagar Main Road 7,"Grocery, Kitchenware, Pharmacy, Clothing Store",75591,402451,47916,1,6331,,No,12627.0,3603 (28.5%),25-44,0,4,0.757928238352897
Bangalore Urban,Bangalore North,Malleshwaram Extension 8,"Cafe, Clothing Store, Books, Jewellery",109812,277529,28395,4,3427,28000.0,Yes,12627.0,3603 (28.5%),25-44,1,4,0.5261822712481425
Bangalore Urban,Bangalore North,Rajajinagar Stage 8,"Supermarket, Electronics, Pharmacy, Furniture",43247,260469,35421,2,5730,,No,12627.0,3603 (28.5%),25-44,0,4,0.653392676248521
Bangalore Urban,Bangalore North,Sadashivanagar Phase 8,"Boutique, High-end Furniture, Cafe",44300,430987,70701,5,2359,,No,12627.0,3603 (28.5%),25-44,0,3,0.42460050881075495
Bangalore Urban,Bangalore North,Mathikere Block 8,"Cafe, Bookstore, Fitness Center",94065,443191,71273,3,1357,,No,12627.0,3603 (28.5%),25-44,0,3,0.4446865355249231
Bangalore Urban,Bangalore North,Vidyaranyapura Cross 8,"Grocery, Pharmacy, Cafe",102798,458864,76895,8,564,,No,12627.0,3603 (28.5%),25-44,0,3,0.2773375461408515
Bangalore Urban,Bangalore North,Jakkur Market 8,"Education, Fitness Center, Cafe",29268,276713,41342,4,3394,,No,12627.0,3603 (28.5%),25-44,0,3,0.38901805103284703
Bangalore Urban,Bangalore North,Nagavara Industrial Area 8,"IT Services, Cafe, Pharmacy",106807,461501,19895,1,6874,,No,12627.0,3603 (28.5%),25-44,0,3,0.5518526534342666
Bangalore Urban,Bangalore North,Banaswadi Layout 8,"Grocery, Pharmacy, Clothing Store",32185,39063,69432,1,7531,,No,12627.0,3603 (28.5%),25-44,0,3,0.7687828614242659
Bangalore Urban,Bangalore North,Kalyan Nagar Main Road 8,"Cafe, Restaurant, Fitness",83704,87642,65164,3,1330,,No,12627.0,3603 (28.5%),25-44,0,3,0.4202919694085454
Bangalore Urban,Bangalore North,Horamavu Extension 9,"Grocery, Electronics, Furniture",106779,110093,26023,9,9176,,No,12627.0,3603 (28.5%),25-44,0,3,0.42903755763244644
Bangalore Urban,Bangalore North,Hennur Stage 9,"Real Estate, Cafe, Gym",59099,237215,25699,7,3905,,No,12627.0,3603 (28.5%),25-44,0,3,0.2594075183890683
Bangalore Urban,Bangalore North,Kothanur Phase 9,"Supermarket, Restaurant, Cafe",28571,450815,24715,2,6519,,No,12627.0,3603 (28.5%),25-44,0,3,0.5238559129751691
Bangalore Urban,Bangalore North,Byatarayanapura Block 9,"Clothing Store, Pharmacy, Education",58044,202992,34169,9,5850,,No,12627.0,3603 (28.5%),25-44,0,3,0.3148391977713161
Bangalore Urban,Bangalore North,Hegde Nagar Cross 9,"Grocery, Pharmacy, Cafe",71214,179601,74900,2,3956,,No,12627.0,3603 (28.5%),25-44,0,3,0.6027190256211632
Bangalore Urban,Bangalore North,Thanisandra Market 9,"Real Estate, Supermarket, Electronics",81228,55954,67877,3,3235,,No,12627.0,3603 (28.5%),25-44,0,3,0.5137417331964466
Bangalore Urban,Bangalore North,Sanjay Nagar Industrial Area 9,"Cafe, Bakery, Pharmacy",68984,47856,31163,2,7053,,No,12627.0,3603 (28.5%),25-44,0,3,0.5716656734142412
Bangalore Urban,Bangalore North,Frazer Town Layout 9,"Cafe, Bakery, Clothing Store",60774,22573,68728,3,9216,,No,12627.0,3603 (28.5%),25-44,0,3,0.7780032008891032
Bangalore Urban,Bangalore North,Yelahanka Main Road 9,"Cafe, Education, Real Estate, Electronics",22568,491560,20782,6,6134,,No,12627.0,3603 (28.5%),25-44,0,4,0.49210675284622873
Bangalore Urban,Bangalore North,Hebbal Extension 10,"Cafe, Supermarket, Healthcare, Electronics",82592,55367,37641,9,4689,22000.0,Yes,12627.0,3603 (28.5%),25-44,1,4,0.4622915606044714
Bangalore Urban,Bangalore North,RT Nagar Stage 10,"Grocery, Kitchenware, Pharmacy, Clothing Store",87563,257804,79236,9,1646,,No,12627.0,3603 (28.5%),25-44,0,4,0.4259190263574746
Bangalore Urban,Bangalore North,Malleshwaram Phase 10,"Cafe, Clothing Store, Books, Jewellery",22695,381752,73945,7,6165,28000.0,Yes,12627.0,3603 (28.5%),25-44,1,4,0.7263177280688687
Bangalore Urban,Bangalore North,Rajajinagar Block 10,"Supermarket, Electronics, Pharmacy, Furniture",68190,342918,33792,3,1194,,No,12627.0,3603 (28.5%),25-44,0,4,0.41841720494892476
Bangalore Urban,Bangalore North,Sadashivanagar Cross 10,"Boutique, High-end Furniture, Cafe",25258,43752,64492,4,2511,,No,12627.0,3603 (28.5%),25-44,0,3,0.43845911029977713
Bangalore Urban,Bangalore North,Mathikere Market 10,"Cafe, Bookstore, Fitness Center",107538,337173,50585,6,2717,,No,12627.0,3603 (28.5%),25-44,0,3,0.33295605070094436
Bangalore Urban,Bangalore North,Vidyaranyapura Industrial Area 10,"Grocery, Pharmacy, Cafe",59504,168757,45682,5,9054,,No,12627.0,3603 (28.5%),25-44,0,3,0.6217083940956193
Bangalore Urban,Bangalore North,Jakkur Layout 10,"Education, Fitness Center, Cafe",53159,412426,62864,2,4245,,No,12627.0,3603 (28.5%),25-44,0,3,0.5695910222830567
Bangalore Urban,Bangalore North,Nagavara Main Road 10,"IT Services, Cafe, Pharmacy",33986,333837,79456,6,2875,,No,12627.0,3603 (28.5%),25-44,0,3,0.4495709137442828
Bangalore Urban,Bangalore South,Jayanagar,"Cafe, Clothing Store, Fitness Center",81858,136739,33880,3,6728,,No,12627.0,3603 (28.5%),35-54,0,3,0.5369861235331294
Bangalore Urban,Bangalore South,Basavanagudi,"Electronics, Grocery, Jewellery",32666,338105,70114,8,3255,,No,12627.0,3603 (28.5%),35-54,0,3,0.3690101985943569
Bangalore Urban,Bangalore South,Banashankari,"Supermarket, Pharmacy, Restaurant",58660,258009,77274,2,4070,,No,12627.0,3603 (28.5%),25-44,0,3,0.6167162826726962
Bangalore Urban,Bangalore South,HSR Layout,"Cafe, Bakery, Gym",23561,276028,53067,1,8072,40000.0,No,12627.0,3603 (28.5%),25-34,0,3,0.7302012099458646
Bangalore Urban,Bangalore South,Koramangala,"Cafe, Clothing Store, Pub",46854,227980,57685,9,8875,,No,12627.0,3603 (28.5%),25-34,0,3,0.5362271097203659
Bangalore Urban,Bangalore South,JP Nagar,"Cafe, Education, Pharmacy",84505,276609,71726,3,5515,,No,12627.0,3603 (28.5%),25-44,0,3,0.6278747085215184
Bangalore Urban,Bangalore South,BTM Layout,"Cafe, Hostels/PG, Electronics",72251,408822,33073,1,4431,,No,12627.0,3603 (28.5%),25-44,0,4,0.6185986945406029
Bangalore Urban,Bangalore South,Padmanabhanagar,"Cafe, Clothing, Restaurant",42662,356676,51035,7,2042,,No,12627.0,3603 (28.5%),25-44,0,3,0.2743861860626906
Bangalore Urban,Bangalore South,Uttarahalli,"Supermarket, Pharmacy, Restaurant",28392,364138,79977,5,6126,,No,12627.0,3603 (28.5%),25-44,0,3,0.6242546650494781
Bangalore Urban,Bangalore South,Girinagar,"Grocery, Pharmacy, Fitness",50535,338277,52174,5,8401,,No,12627.0,3603 (28.5%),25-44,0,3,0.6178814049759175
Bangalore Urban,Bangalore South,Yelachenahalli,"Grocery, Cafe, Education",98603,343412,39837,1,291,,No,12627.0,3603 (28.5%),25-44,0,3,0.3403384863918745
Bangalore Urban,Bangalore South,Hulimavu,"Supermarket, Electronics, Pharmacy",72256,451459,32826,9,9195,,No,12627.0,3603 (28.5%),25-44,0,3,0.4557204101180685
Bangalore Urban,Bangalore South,Arekere,"Grocery, Restaurant, Pharmacy",109135,208456,39981,7,961,,No,12627.0,3603 (28.5%),25-44,0,3,0.18519951570463591
Bangalore Urban,Bangalore South,Bannerghatta Road,"Real Estate, Supermarket, Education",55222,51653,25382,8,6811,,No,12627.0,3603 (28.5%),25-44,0,3,0.3542075486840385
Bangalore Urban,Bangalore South,Tavarekere,"Hostels/PG, Cafe, Electronics",97373,177729,19437,9,9375,,No,12627.0,3603 (28.5%),25-44,0,4,0.5359780809131828
Bangalore Urban,Bangalore South,Viveknagar,"Clothing, Cafe, Pharmacy",99575,453168,20435,6,749,,No,12627.0,3603 (28.5%),25-44,0,3,0.13248715885508502
Bangalore Urban,Bangalore South,Wilson Garden,"Automotive, Hardware, Grocery",116354,435396,79612,5,4234,,No,12627.0,3603 (28.5%),25-44,0,3,0.5402954303180826
Bangalore Urban,Bangalore South,Richmond Town,"Boutique, Cafe, Electronics",104651,248504,39819,6,7687,,No,12627.0,3603 (28.5%),25-44,0,3,0.5089462563326427
Bangalore Urban,Bangalore South,Austin Town,"Grocery, Restaurant, Pharmacy",83335,141829,76929,2,8928,,No,12627.0,3603 (28.5%),25-44,0,3,0.8274217295982763
Bangalore Urban,Bangalore South,Bilekahalli,"Cafe, Bookstore, Fitness",30965,148377,51875,4,1136,,No,12627.0,3603 (28.5%),25-44,0,3,0.33050155191371855
Bangalore Urban,Bangalore South,Jayanagar Extension 1,"Cafe, Clothing Store, Fitness Center",44538,491627,46982,3,4231,,No,12627.0,3603 (28.5%),25-44,0,3,0.47780204903307977
Bangalore Urban,Bangalore South,Basavanagudi Stage 1,"Electronics, Grocery, Jewellery",90592,21622,48328,7,2248,,No,12627.0,3603 (28.5%),25-44,0,3,0.27308910470613124
Bangalore Urban,Bangalore South,Banashankari Phase 1,"Supermarket, Pharmacy, Restaurant",118018,68756,27329,9,5557,,No,12627.0,3603 (28.5%),25-44,0,3,0.27605761503369075
Bangalore Urban,Bangalore South,HSR Layout Block 1,"Cafe, Bakery, Gym",28110,60809,75069,5,6179,40000.0,No,12627.0,3603 (28.5%),25-44,0,3,0.607915715702009
Bangalore Urban,Bangalore South,Koramangala Cross 1,"Cafe, Clothing Store, Pub",99309,36725,40169,6,2530,,No,12627.0,3603 (28.5%),25-44,0,3,0.28521062381681805
Bangalore Urban,Bangalore South,JP Nagar Market 1,"Cafe, Education, Pharmacy",47266,212468,36932,2,1979,,No,12627.0,3603 (28.5%),25-44,0,3,0.37214637476307943
Bangalore Urban,Bangalore South,BTM Layout Industrial Area 1,"Cafe, Hostels/PG, Electronics",72992,71226,49594,3,7642,,No,12627.0,3603 (28.5%),25-44,0,4,0.7598785673647735
Bangalore Urban,Bangalore South,Padmanabhanagar Layout 1,"Cafe, Clothing, Restaurant",102948,101182,26421,3,2111,,No,12627.0,3603 (28.5%),25-44,0,3,0.30714081387421766
Bangalore Urban,Bangalore South,Uttarahalli Main Road 1,"Supermarket, Pharmacy, Restaurant",118806,495781,75631,9,3473,,No,12627.0,3603 (28.5%),25-44,0,3,0.368669592931788
Bangalore Urban,Bangalore South,Girinagar Extension 2,"Grocery, Pharmacy, Fitness",26910,49402,60033,7,7457,,No,12627.0,3603 (28.5%),25-44,0,3,0.5449071302528642
Bangalore Urban,Bangalore South,Yelachenahalli Stage 2,"Grocery, Cafe, Education",110982,24263,78133,8,1389,,No,12627.0,3603 (28.5%),25-44,0,3,0.31804763626677934
Bangalore Urban,Bangalore South,Hulimavu Phase 2,"Supermarket, Electronics, Pharmacy",20206,247595,22629,9,1547,,No,12627.0,3603 (28.5%),25-44,0,3,0.08318857316123363
Bangalore Urban,Bangalore South,Arekere Block 2,"Grocery, Restaurant, Pharmacy",107054,197900,23325,6,3299,,No,12627.0,3603 (28.5%),25-44,0,3,0.2547591654279119
Bangalore Urban,Bangalore South,Bannerghatta Road Cross 2,"Real Estate, Supermarket, Education",107897,67924,67290,4,6481,,No,12627.0,3603 (28.5%),25-44,0,3,0.6223542152629739
Bangalore Urban,Bangalore South,Tavarekere Market 2,"Hostels/PG, Cafe, Electronics",43419,356326,43495,1,7622,,No,12627.0,3603 (28.5%),25-44,0,4,0.7974697944989146
