District,Taluk,Area,DemandProducts,Cost_of_Living,Population,Avg_Income,Competition_Index,Footfall_Potential,AvgRent2BHK,MetroAccess,CrimeReportedCitywide,CrimeDetectedCitywide,AgeGroup
Bangalore Urban,Bangalore North,Malleshwaram Block 1,"Cafe, Clothing Store, Books, Jewellery",48693,367739,55747,2,3816,28000,Yes,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Rajajinagar Cross 1,"Supermarket, Electronics, Pharmacy, Furniture",91932,121358,50196,1,3514,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Sadashivanagar Market 1,"Boutique, High-end Furniture, Cafe",113016,492327,60113,6,1548,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Mathikere Industrial Area 1,"Cafe, Bookstore, Fitness Center",45658,347073,55194,8,670,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Vidyaranyapura Layout 1,"Grocery, Pharmacy, Cafe",104478,93506,23533,3,3004,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Jakkur Main Road 1,"Education, Fitness Center, Cafe",38431,54911,47581,1,2605,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Nagavara Extension 2,"IT Services, Cafe, Pharmacy",22747,369271,20249,9,1017,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Banaswadi Stage 2,"Grocery, Pharmacy, Clothing Store",79150,445037,75118,1,7082,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Kalyan Nagar Phase 2,"Cafe, Restaurant, Fitness",85725,226111,69443,3,7527,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Horamavu Block 2,"Grocery, Electronics, Furniture",104654,473751,34201,8,6436,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Hennur Cross 2,"Real Estate, Cafe, Gym",55773,395597,75005,3,1778,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Kothanur Market 2,"Supermarket, Restaurant, Cafe",87435,104458,73576,4,715,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Byatarayanapura Industrial Area 2,"Clothing Store, Pharmacy, Education",76886,32175,68026,8,7186,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Hegde Nagar Layout 2,"Grocery, Pharmacy, Cafe",86803,401379,74745,1,4849,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Thanisandra Main Road 2,"Real Estate, Supermarket, Electronics",51551,336915,24686,6,3605,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Sanjay Nagar Extension 3,"Cafe, Bakery, Pharmacy",31394,409301,61877,1,4629,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Frazer Town Stage 3,"Cafe, Bakery, Clothing Store",89092,141300,68363,1,1235,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Yelahanka Phase 3,"Cafe, Education, Real Estate, Electronics",23890,106925,47007,8,8666,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Hebbal Block 3,"Cafe, Supermarket, Healthcare, Electronics",61606,264446,15661,4,7326,22000,Yes,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,RT Nagar Cross 3,"Grocery, Kitchenware, Pharmacy, Clothing Store",116276,86358,59843,1,5262,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Malleshwaram Market 3,"Cafe, Clothing Store, Books, Jewellery",100038,430543,45137,7,306,28000,Yes,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Rajajinagar Industrial Area 3,"Supermarket, Electronics, Pharmacy, Furniture",107313,67057,75963,5,4975,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Sadashivanagar Layout 3,"Boutique, High-end Furniture, Cafe",30627,288294,62556,5,1419,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Mathikere Main Road 3,"Cafe, Bookstore, Fitness Center",28792,286569,57828,1,1241,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Vidyaranyapura Extension 4,"Grocery, Pharmacy, Cafe",93969,274726,63604,6,4727,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Jakkur Stage 4,"Education, Fitness Center, Cafe",63001,298176,25526,9,7489,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Nagavara Phase 4,"IT Services, Cafe, Pharmacy",96552,22198,18374,9,2790,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Banaswadi Block 4,"Grocery, Pharmacy, Clothing Store",43897,473716,40592,8,7423,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Kalyan Nagar Cross 4,"Cafe, Restaurant, Fitness",88148,204466,43982,5,3355,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Horamavu Market 4,"Grocery, Electronics, Furniture",43483,433295,15207,1,8381,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Hennur Industrial Area 4,"Real Estate, Cafe, Gym",68555,187292,50433,9,5313,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Kothanur Layout 4,"Supermarket, Restaurant, Cafe",37159,455090,66645,1,4208,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Byatarayanapura Main Road 4,"Clothing Store, Pharmacy, Education",100077,164931,38197,8,3120,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Hegde Nagar Extension 5,"Grocery, Pharmacy, Cafe",55920,463676,48400,5,1957,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Thanisandra Stage 5,"Real Estate, Supermarket, Electronics",112067,182491,74446,3,9096,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Sanjay Nagar Phase 5,"Cafe, Bakery, Pharmacy",87121,401009,75303,7,9236,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Frazer Town Block 5,"Cafe, Bakery, Clothing Store",89479,421921,18083,7,2889,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Yelahanka Cross 5,"Cafe, Education, Real Estate, Electronics",109475,456096,44328,9,3975,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Hebbal Market 5,"Cafe, Supermarket, Healthcare, Electronics",39457,280910,61479,7,7705,22000,Yes,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,RT Nagar Industrial Area 5,"Grocery, Kitchenware, Pharmacy, Clothing Store",86557,43236,57891,3,9902,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Malleshwaram Layout 5,"Cafe, Clothing Store, Books, Jewellery",97189,107955,35103,1,8235,28000,Yes,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Rajajinagar Main Road 5,"Supermarket, Electronics, Pharmacy, Furniture",98953,236586,54891,8,6155,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Sadashivanagar Extension 6,"Boutique, High-end Furniture, Cafe",72995,123145,25754,3,3982,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Mathikere Stage 6,"Cafe, Bookstore, Fitness Center",60757,166430,49447,8,7275,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Vidyaranyapura Phase 6,"Grocery, Pharmacy, Cafe",29692,250785,30901,8,7229,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Jakkur Block 6,"Education, Fitness Center, Cafe",65758,114914,48004,5,5121,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Nagavara Cross 6,"IT Services, Cafe, Pharmacy",92409,385014,22446,1,4835,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Banaswadi Market 6,"Grocery, Pharmacy, Clothing Store",91211,227990,52211,7,2487,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Kalyan Nagar Industrial Area 6,"Cafe, Restaurant, Fitness",85697,398387,70922,5,6682,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Horamavu Layout 6,"Grocery, Electronics, Furniture",57065,34596,63231,8,9233,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Hennur Main Road 6,"Real Estate, Cafe, Gym",112093,446788,44301,9,5966,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Kothanur Extension 7,"Supermarket, Restaurant, Cafe",119299,491973,41116,7,2666,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Byatarayanapura Stage 7,"Clothing Store, Pharmacy, Education",52606,152351,70251,7,1075,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Hegde Nagar Phase 7,"Grocery, Pharmacy, Cafe",31534,214269,76287,1,7312,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Thanisandra Block 7,"Real Estate, Supermarket, Electronics",114663,393640,77711,4,9246,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Sanjay Nagar Cross 7,"Cafe, Bakery, Pharmacy",60397,412417,56323,2,1362,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Frazer Town Market 7,"Cafe, Bakery, Clothing Store",111387,475732,33752,2,5147,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Yelahanka Industrial Area 7,"Cafe, Education, Real Estate, Electronics",21016,158155,47376,2,9235,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Hebbal Layout 7,"Cafe, Supermarket, Healthcare, Electronics",109789,140674,31669,4,7482,22000,Yes,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,RT Nagar Main Road 7,"Grocery, Kitchenware, Pharmacy, Clothing Store",75591,402451,47916,1,6331,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Malleshwaram Extension 8,"Cafe, Clothing Store, Books, Jewellery",109812,277529,28395,4,3427,28000,Yes,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Rajajinagar Stage 8,"Supermarket, Electronics, Pharmacy, Furniture",43247,260469,35421,2,5730,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Sadashivanagar Phase 8,"Boutique, High-end Furniture, Cafe",44300,430987,70701,5,2359,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Mathikere Block 8,"Cafe, Bookstore, Fitness Center",94065,443191,71273,3,1357,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Vidyaranyapura Cross 8,"Grocery, Pharmacy, Cafe",102798,458864,76895,8,564,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Jakkur Market 8,"Education, Fitness Center, Cafe",29268,276713,41342,4,3394,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Nagavara Industrial Area 8,"IT Services, Cafe, Pharmacy",106807,461501,19895,1,6874,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Banaswadi Layout 8,"Grocery, Pharmacy, Clothing Store",32185,39063,69432,1,7531,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Kalyan Nagar Main Road 8,"Cafe, Restaurant, Fitness",83704,87642,65164,3,1330,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Horamavu Extension 9,"Grocery, Electronics, Furniture",106779,110093,26023,9,9176,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Hennur Stage 9,"Real Estate, Cafe, Gym",59099,237215,25699,7,3905,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Kothanur Phase 9,"Supermarket, Restaurant, Cafe",28571,450815,24715,2,6519,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Byatarayanapura Block 9,"Clothing Store, Pharmacy, Education",58044,202992,34169,9,5850,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Hegde Nagar Cross 9,"Grocery, Pharmacy, Cafe",71214,179601,74900,2,3956,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Thanisandra Market 9,"Real Estate, Supermarket, Electronics",81228,55954,67877,3,3235,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Sanjay Nagar Industrial Area 9,"Cafe, Bakery, Pharmacy",68984,47856,31163,2,7053,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Frazer Town Layout 9,"Cafe, Bakery, Clothing Store",60774,22573,68728,3,9216,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Yelahanka Main Road 9,"Cafe, Education, Real Estate, Electronics",22568,491560,20782,6,6134,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Hebbal Extension 10,"Cafe, Supermarket, Healthcare, Electronics",82592,55367,37641,9,4689,22000,Yes,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,RT Nagar Stage 10,"Grocery, Kitchenware, Pharmacy, Clothing Store",87563,257804,79236,9,1646,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Malleshwaram Phase 10,"Cafe, Clothing Store, Books, Jewellery",22695,381752,73945,7,6165,28000,Yes,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Rajajinagar Block 10,"Supermarket, Electronics, Pharmacy, Furniture",68190,342918,33792,3,1194,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Sadashivanagar Cross 10,"Boutique, High-end Furniture, Cafe",25258,43752,64492,4,2511,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Mathikere Market 10,"Cafe, Bookstore, Fitness Center",107538,337173,50585,6,2717,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Vidyaranyapura Industrial Area 10,"Grocery, Pharmacy, Cafe",59504,168757,45682,5,9054,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Jakkur Layout 10,"Education, Fitness Center, Cafe",53159,412426,62864,2,4245,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Nagavara Main Road 10,"IT Services, Cafe, Pharmacy",33986,333837,79456,6,2875,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore South,Jayanagar,"Cafe, Clothing Store, Fitness Center",81858,136739,33880,3,6728,,No,12627,3603 (28.5%),35-54
Bangalore Urban,Bangalore South,Basavanagudi,"Electronics, Grocery, Jewellery",32666,338105,70114,8,3255,,No,12627,3603 (28.5%),35-54
Bangalore Urban,Bangalore South,Banashankari,"Supermarket, Pharmacy, Restaurant",58660,258009,77274,2,4070,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore South,HSR Layout,"Cafe, Bakery, Gym",23561,276028,53067,1,8072,40000,No,12627,3603 (28.5%),25-34
Bangalore Urban,Bangalore South,Koramangala,"Cafe, Clothing Store, Pub",46854,227980,57685,9,8875,,No,12627,3603 (28.5%),25-34
Bangalore Urban,Bangalore South,JP Nagar,"Cafe, Education, Pharmacy",84505,276609,71726,3,5515,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore South,BTM Layout,"Cafe, Hostels/PG, Electronics",72251,408822,33073,1,4431,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore South,Padmanabhanagar,"Cafe, Clothing, Restaurant",42662,356676,51035,7,2042,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore South,Uttarahalli,"Supermarket, Pharmacy, Restaurant",28392,364138,79977,5,6126,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore South,Girinagar,"Grocery, Pharmacy, Fitness",50535,338277,52174,5,8401,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore South,Yelachenahalli,"Grocery, Cafe, Education",98603,343412,39837,1,291,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore South,Hulimavu,"Supermarket, Electronics, Pharmacy",72256,451459,32826,9,9195,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore South,Arekere,"Grocery, Restaurant, Pharmacy",109135,208456,39981,7,961,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore South,Bannerghatta Road,"Real Estate, Supermarket, Education",55222,51653,25382,8,6811,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore South,Tavarekere,"Hostels/PG, Cafe, Electronics",97373,177729,19437,9,9375,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore South,Viveknagar,"Clothing, Cafe, Pharmacy",99575,453168,20435,6,749,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore South,Wilson Garden,"Automotive, Hardware, Grocery",116354,435396,79612,5,4234,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore South,Richmond Town,"Boutique, Cafe, Electronics",104651,248504,39819,6,7687,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore South,Austin Town,"Grocery, Restaurant, Pharmacy",83335,141829,76929,2,8928,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore South,Bilekahalli,"Cafe, Bookstore, Fitness",30965,148377,51875,4,1136,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore South,Jayanagar Extension 1,"Cafe, Clothing Store, Fitness Center",44538,491627,46982,3,4231,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore South,Basavanagudi Stage 1,"Electronics, Grocery, Jewellery",90592,21622,48328,7,2248,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore South,Banashankari Phase 1,"Supermarket, Pharmacy, Restaurant",118018,68756,27329,9,5557,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore South,HSR Layout Block 1,"Cafe, Bakery, Gym",28110,60809,75069,5,6179,40000,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore South,Koramangala Cross 1,"Cafe, Clothing Store, Pub",99309,36725,40169,6,2530,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore South,JP Nagar Market 1,"Cafe, Education, Pharmacy",47266,212468,36932,2,1979,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore South,BTM Layout Industrial Area 1,"Cafe, Hostels/PG, Electronics",72992,71226,49594,3,7642,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore South,Padmanabhanagar Layout 1,"Cafe, Clothing, Restaurant",102948,101182,26421,3,2111,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore South,Uttarahalli Main Road 1,"Supermarket, Pharmacy, Restaurant",118806,495781,75631,9,3473,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore South,Girinagar Extension 2,"Grocery, Pharmacy, Fitness",26910,49402,60033,7,7457,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore South,Yelachenahalli Stage 2,"Grocery, Cafe, Education",110982,24263,78133,8,1389,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore South,Hulimavu Phase 2,"Supermarket, Electronics, Pharmacy",20206,247595,22629,9,1547,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore South,Arekere Block 2,"Grocery, Restaurant, Pharmacy",107054,197900,23325,6,3299,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore South,Bannerghatta Road Cross 2,"Real Estate, Supermarket, Education",107897,67924,67290,4,6481,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore South,Tavarekere Market 2,"Hostels/PG, Cafe, Electronics",43419,356326,43495,1,7622,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore South,Viveknagar Industrial Area 2,"Clothing, Cafe, Pharmacy",70636,244137,46750,8,6159,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore South,Wilson Garden Layout 2,"Automotive, Hardware, Grocery",70015,472268,44619,7,3283,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore South,Richmond Town Main Road 2,"Boutique, Cafe, Electronics",74268,424880,55461,2,5562,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore South,Austin Town Extension 3,"Grocery, Restaurant, Pharmacy",107939,317881,23264,8,3316,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore South,Bilekahalli Stage 3,"Cafe, Bookstore, Fitness",38141,383476,27686,5,3236,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore South,Jayanagar Phase 3,"Cafe, Clothing Store, Fitness Center",100356,371707,61484,7,3418,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore South,Basavanagudi Block 3,"Electronics, Grocery, Jewellery",91910,180445,39226,4,2882,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore South,Banashankari Cross 3,"Supermarket, Pharmacy, Restaurant",76044,187469,21721,5,9282,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore South,HSR Layout Market 3,"Cafe, Bakery, Gym",87214,410719,71154,8,7757,40000,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore South,Koramangala Industrial Area 3,"Cafe, Clothing Store, Pub",53827,499361,35609,1,5020,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore South,JP Nagar Layout 3,"Cafe, Education, Pharmacy",75820,121371,67130,1,6424,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore South,BTM Layout Main Road 3,"Cafe, Hostels/PG, Electronics",82623,58709,79977,4,6427,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore South,Padmanabhanagar Extension 4,"Cafe, Clothing, Restaurant",101734,212192,22373,3,8517,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore South,Uttarahalli Stage 4,"Supermarket, Pharmacy, Restaurant",95450,170322,53675,2,876,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore South,Girinagar Phase 4,"Grocery, Pharmacy, Fitness",113426,41172,70249,3,5308,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore South,Yelachenahalli Block 4,"Grocery, Cafe, Education",42299,31555,63895,1,787,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore South,Hulimavu Cross 4,"Supermarket, Electronics, Pharmacy",63585,491833,43937,1,629,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore South,Arekere Market 4,"Grocery, Restaurant, Pharmacy",84044,73276,20656,6,5167,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore South,Bannerghatta Road Industrial Area 4,"Real Estate, Supermarket, Education",62557,77492,74329,5,8180,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore South,Tavarekere Layout 4,"Hostels/PG, Cafe, Electronics",69080,204074,23984,8,5618,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore South,Viveknagar Main Road 4,"Clothing, Cafe, Pharmacy",22693,276010,78740,2,2253,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore South,Wilson Garden Extension 5,"Automotive, Hardware, Grocery",115003,371743,79309,4,9586,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore South,Richmond Town Stage 5,"Boutique, Cafe, Electronics",115259,485571,44984,8,6194,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore South,Austin Town Phase 5,"Grocery, Restaurant, Pharmacy",89163,242320,68411,6,7074,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore South,Bilekahalli Block 5,"Cafe, Bookstore, Fitness",45939,437978,23286,1,9818,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore South,Jayanagar Cross 5,"Cafe, Clothing Store, Fitness Center",68925,31046,20901,4,4874,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore South,Basavanagudi Market 5,"Electronics, Grocery, Jewellery",62941,248071,46552,1,7792,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore South,Banashankari Industrial Area 5,"Supermarket, Pharmacy, Restaurant",41834,398165,40709,2,3203,,No,12627,3603 (28.5%),25-44
